time,seconds_elapsed,acc_z,acc_y,acc_x,gry_z,gry_y,gry_x,gravity_z,gravity_y,gravity_x,mag_z,mag_y,mag_x,qz,qy,qx,qw,roll,pitch,yaw,tacc_z,tacc_y,tacc_x,activity
1.70E+18,5.667449463,0.578211784,2.501158714,4.18101263,0.123500451,0.349596173,-0.160850182,-0.398039311,9.779018402,0.618663669,8.515600204,-27.66959953,27.91359901,0.631135404,0.520539224,0.421465814,0.3912462,-0.881258667,-1.408477902,-2.793797493,-0.709471941,10.64237785,0.237786755,walk
1.70E+18,5.677315918,-0.100741237,3.047771454,3.261078119,0.199731186,0.278158963,-0.09314131,-0.387262523,9.777648926,0.646535933,7.759199619,-27.96239853,27.73060036,0.633698046,0.513079286,0.424276441,0.393911093,-0.866328716,-1.394665837,-2.768507481,-0.326321185,10.33340454,0.065503523,walk
1.70E+18,5.687168945,-0.63496995,3.221042633,1.97571218,0.294603497,0.302126706,-0.069706187,-0.379828781,9.775645256,0.680353045,7.002799988,-28.21859932,27.47439957,0.635695279,0.504516184,0.428928345,0.396705747,-0.867591321,-1.379474998,-2.755739927,0.035593238,9.813564301,-0.016151553,walk
1.70E+18,5.697017578,-0.807388306,2.962083817,1.105757236,0.400128156,0.429555207,-0.111782894,-0.367813081,9.773072243,0.722619236,6.441599846,-28.49919891,27.21819878,0.637177527,0.494953007,0.435253292,0.399475724,-0.881772101,-1.36302042,-2.752707481,0.315852582,9.368199348,-0.233898416,walk
1.70E+18,5.706869873,-0.624816179,2.364822388,0.645526052,0.479021966,0.588874102,-0.234883875,-0.342193931,9.770232201,0.771914124,6.063399792,-28.76759911,26.93759918,0.638375938,0.484598547,0.442810774,0.401944101,-0.904686689,-1.345296383,-2.756403208,0.519541621,9.046963692,-0.593420029,walk
1.70E+18,5.716729248,-0.496478528,1.620533943,0.355034888,0.489141703,0.665104866,-0.482217669,-0.291624725,9.767816544,0.821642339,5.709599972,-29.0481987,26.65699959,0.639356554,0.473785073,0.450893492,0.404284507,-0.929485679,-1.326938272,-2.76091218,0.596111953,8.730812073,-0.986142039,walk
1.70E+18,5.72658252,-0.663364768,0.998927116,-0.135458052,0.422498047,0.59473294,-0.911306858,-0.200569734,9.766525269,0.863216579,5.416800022,-29.37759972,26.36419868,0.640129745,0.463003755,0.458725035,0.406734228,-0.950751781,-1.30898726,-2.761851072,0.643968403,8.639883995,-1.343270779,walk
1.70E+18,5.736404785,-0.642800093,0.69918251,-0.676094353,0.370834261,0.481751621,-1.381407499,-0.065461621,9.765262604,0.897634208,5.392399788,-29.64599991,26.04699898,0.640989661,0.452944309,0.465585411,0.408905745,-0.96712929,-1.292141557,-2.759971619,0.701396108,8.745168686,-1.764706731,walk
1.70E+18,5.746254883,-0.426812619,0.393184662,-0.885844409,0.403856456,0.414575368,-1.68040514,0.09882842,9.761554718,0.934170008,5.465600014,-29.90219879,25.70539856,0.642212749,0.444352597,0.470909029,0.410314828,-0.978601933,-1.277097583,-2.757348061,0.828514814,9.224330902,-2.104786634,walk
1.70E+18,5.75613916,-0.244474888,-0.118546486,-1.009093523,0.458183348,0.362911582,-1.79711473,0.275001884,9.754157066,0.975275636,5.72179985,-30.2071991,25.35159874,0.643859804,0.437689245,0.47458148,0.41066426,-0.986543894,-1.264339209,-2.75629878,1.115952611,9.844670296,-2.239083767,walk
1.70E+18,5.765992676,-0.141301453,-0.55141449,-1.270021796,0.481685072,0.276561111,-1.785929799,0.449005336,9.743368149,1.017619252,5.929199696,-30.47559929,24.9489994,0.646267235,0.433194369,0.476545393,0.409372449,-0.99263376,-1.253517151,-2.759750128,1.386640668,10.24726295,-2.157727718,walk
1.70E+18,5.775838135,-0.10367626,-0.856168747,-1.672262669,0.489141703,0.121969178,-1.690524817,0.612210155,9.72994709,1.060049176,6.148799896,-30.70739937,24.57079887,0.650071383,0.430785805,0.47683087,0.405540496,-0.998963773,-1.243240237,-2.771278858,1.693221092,10.38365364,-1.297508121,walk
1.70E+18,5.785690674,-0.176756084,-1.153191566,-2.110872507,0.515239894,-0.112515241,-1.553043127,0.759592056,9.714501381,1.105383754,6.221999645,-30.91479874,24.11940002,0.655664206,0.429699361,0.475772172,0.398878098,-1.006303787,-1.231614351,-2.791289568,1.928016901,10.35015392,-0.047258247,walk
1.70E+18,5.795554932,-0.262358665,-1.222837448,-2.520565033,0.572296441,-0.398197412,-1.424016833,0.891157329,9.697216034,1.157687187,6.380599976,-31.13439941,23.7656002,0.66286087,0.4286834,0.473941565,0.390160769,-1.013194919,-1.217223763,-2.815551043,2.045265198,10.48445129,1.016351461,walk
1.70E+18,5.805408691,-0.323554337,-1.093948364,-3.007882595,0.683147252,-0.723359823,-1.320090055,1.008231401,9.677744865,1.222751975,6.575799942,-31.32959938,23.41180038,0.671054184,0.427332997,0.471362591,0.380644321,-1.016072989,-1.20091486,-2.838184834,2.083550215,10.61366367,1.840379715,walk
1.70E+18,5.815257568,-0.302642524,-0.589004517,-3.435671806,0.875022352,-1.083674908,-1.245989799,1.112841606,9.654932022,1.309296012,6.783199787,-31.52479935,23.14340019,0.6795156,0.42631197,0.467497915,0.371432871,-1.011632442,-1.185426474,-2.855202675,2.071586132,10.57537842,2.461018085,walk
1.70E+18,5.825110596,-0.109618664,0.060299873,-3.684621334,1.109573364,-1.452511787,-1.187401891,1.205902457,9.627715111,1.422420263,6.990599632,-31.73219872,22.875,0.687732399,0.425809532,0.462462068,0.363096714,-1.000557423,-1.171984315,-2.866225958,1.788933992,10.47009468,2.717349291,walk
1.70E+18,5.834954346,0.079538941,0.495503426,-3.74442935,1.333938003,-1.792520881,-1.125019193,1.286163568,9.595730782,1.561452746,7.124799728,-31.86639977,22.59440041,0.695228159,0.425544292,0.457080543,0.355875283,-0.986550212,-1.160563707,-2.873063564,1.331605792,10.52512932,2.669193745,walk
